row,column,cor,p
Dppa3,Khdc1b,0.00376507577832492,0.988557704332464
Eif5a,Khdc1b,-0.755828220858896,0.000448730622495175
Fbxo15,Khdc1b,-0.652481566982599,0.00452516218681964
Gcsh,Khdc1b,0.0553166275330879,0.83299319366611
Gdf9,Khdc1b,0.746159842501875,0.000582232356553636
Gnb2l1,Khdc1b,-0.877542615596178,3.69701344982154e-06
H1foo,Khdc1b,0.669122286911144,0.00330951588142847
Hdgf,Khdc1b,-0.529736457631043,0.028739543749932
Hnrnpab,Khdc1b,0.0411042944785276,0.875533730187599
Hprt,Khdc1b,-0.608588957055215,0.00952777595040155
Hsp90ab1,Khdc1b,-0.852056636910704,1.41288164385855e-05
Isyna1,Khdc1b,-0.819631901840491,5.65383622315174e-05
Alppl2,LOC624853,0.673218673218673,0.00305532710202527
Bcl2l10,LOC624853,-0.884924584961524,2.37131969149651e-06
Btg4,LOC624853,-0.952731916776234,3.66611274671413e-09
Calcoco2,LOC624853,0.909203138396989,4.31224625341287e-07
Cnbp,LOC624853,0.341118687664772,0.180262082856975
Ctsl,LOC624853,0.395205975078285,0.116398459037277
Dppa3,LOC624853,0.533713267215738,0.0273456265254626
Eif5a,LOC624853,0.900552655870319,8.31603404805037e-07
Fbxo15,LOC624853,0.835096288118495,3.02742100823927e-05
Gcsh,LOC624853,0.337023625180419,0.185888663824001
Gdf9,LOC624853,-0.936040068475543,3.37277663575719e-08
Gnb2l1,LOC624853,0.845445914263864,1.92187517824571e-05
H1foo,LOC624853,-0.880835380835381,3.04354731617273e-06
Hdgf,LOC624853,0.819632518824816,5.65370196095039e-05
Hnrnpab,LOC624853,0.429711560401652,0.0851623443736624
Hprt,LOC624853,0.713321190266742,0.00130468078026191
Hsp90ab1,LOC624853,0.89004914004914,1.71118576219875e-06
Isyna1,LOC624853,0.893800045635436,1.33390502221609e-06
